"April 12, 2023 at 10:23AM",62.2,36,35.7,3029
"April 12, 2023 at 10:28AM",61.1,37,35.6,3386
"April 12, 2023 at 10:33AM",61.3,40,36.2,3297
"April 12, 2023 at 10:38AM",61.4,41,35.8,3325
"April 12, 2023 at 10:43AM",61.2,42,36.4,3420
"April 12, 2023 at 10:48AM",62,42,36.3,3225
"April 12, 2023 at 10:53AM",62.1,41,36.6,3388
"April 12, 2023 at 10:58AM",62.3,43,37,3187
"April 12, 2023 at 11:03AM",63.4,42,37.2,3421
"April 12, 2023 at 11:08AM",63.5,43,36,2999
"April 12, 2023 at 11:03AM",63.1,43,37.6,2870
"April 12, 2023 at 11:13AM",64,43,36.4,3177
"April 12, 2023 at 11:18AM",64.3,43,35.4,3162
"April 12, 2023 at 11:23AM",65.3,44,36.2,2783
"April 12, 2023 at 11:38AM",65.4,44,36.8,3138
"April 12, 2023 at 11:43AM",65.7,44,37.3,3360
"April 12, 2023 at 11:48AM",63.4,44,37,2983
"April 12, 2023 at 11:53AM",63.4,44,37,3100
"April 12, 2023 at 11:58AM",63.4,44,37,3499
